Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,preprocessed_text
2510.0,2.0,0.968500018119812,"president, america, news, fake, u.s., trump, make, never, going, got","['taxes', 'biggest', 'corporate', 'rate', 'cut', 'ever', 'going', 'back', 'corporate', 'income', 'tax', 'rate', 'roughly', 'years', 'ago.this', 'huge', 'pro-growth', 'stimulus', 'economy', 'every', 'year', 'obama', 'wh', 'overstated', 'economy', 'grow', 'real', 'economics', 'jobs.', 'report']","on taxes : "" this is the biggest corporate rate cut ever going back to the corporate income tax rate of roughly 80 years ago.this is a huge pro-growth stimulus for the economy . every year the obama wh overstated how the economy would grow . now real economics and jobs. "" twitmentionwsj report"
6227.0,2.0,0.9674000144004822,"president, america, news, fake, u.s., trump, make, never, going, got","['fake', 'news', 'media', 'lost', 'tremendous', 'credibility', 'corrupt', 'coverage', 'illegal', 'democrat', 'witch', 'hunt', 'time', 'favorite', 'duly', 'elected', 'president', 't.v', 'ratings', 'cnn', 'msnbc', 'tanked', 'last', 'night', 'seeing', 'mueller', 'report', 'statement', 'big']",the fake news media has lost tremendous credibility with its corrupt coverage of the illegal democrat witch hunt of your all time favorite duly elected president me ! t.v . ratings of cnn & msnbc tanked last night after seeing the mueller report statement . twitmentionfoxnews up big !
8625.0,2.0,0.9674000144004822,"president, america, news, fake, u.s., trump, make, never, going, got","['real', 'story', 'involves', 'hunter', 'biden', 'going', 'around', 'world', 'collecting', 'large', 'payments', 'foreign', 'governments', 'foreign', 'oligarchs.', 'peter', 'schweizer', 'laura', 'ingraham', 'hunter', 'made', 'fortune', 'ukraine', 'china', 'knew', 'nothing', 'energy', 'anything', 'else']",""" the real story involves hunter biden going around the world and collecting large payments from foreign governments and foreign oligarchs. "" peter schweizer laura ingraham hunter made a fortune in ukraine and in china . he knew nothing about energy or anything else ."
2702.0,2.0,0.9663000106811523,"president, america, news, fake, u.s., trump, make, never, going, got","['rep.', 'lou', 'barletta', 'republican', 'pennsylvania', 'one', 'earliest', 'supporters', 'make', 'fantastic', 'senator', 'strong', 'smart', 'loves', 'pennsylvania', 'loves', 'country', 'voted', 'tax', 'cuts', 'unlike', 'bob', 'casey', 'listened', 'tax', 'hikers', 'pelosi', 'schumer']",rep. lou barletta a great republican from pennsylvania who was one of my very earliest supporters will make a fantastic senator . he is strong & smart loves pennsylvania & loves our country ! voted for tax cuts unlike bob casey who listened to tax hikers pelosi and schumer !
,,,,,
5827.0,3.0,0.9663000106811523,"thank, many, much, china, country, u.s., democrats, news, united, tonight","['representatives', 'left', 'north', 'korea', 'productive', 'meeting', 'agreed', 'upon', 'time', 'date', 'second', 'summit', 'kim', 'jong', 'un', 'take', 'place', 'hanoi', 'vietnam', 'february', 'look', 'forward', 'seeing', 'chairman', 'kim', 'advancing', 'cause', 'peace']",my representatives have just left north korea after a very productive meeting and an agreed upon time and date for the second summit with kim jong un . it will take place in hanoi vietnam on february 27 & 28 . i look forward to seeing chairman kim & advancing the cause of peace !
6632.0,3.0,0.9663000106811523,"thank, many, much, china, country, u.s., democrats, news, united, tonight","['kentuky', 'derby', 'decision', 'good', 'one', 'rough', 'tumble', 'race', 'wet', 'sloppy', 'track', 'actually', 'beautiful', 'thing', 'watch', 'days', 'political', 'correctness', 'could', 'overturn', 'occur', 'best', 'horse', 'win', 'kentucky', 'derby', 'even', 'close']",the kentuky derby decision was not a good one . it was a rough and tumble race on a wet and sloppy track actually a beautiful thing to watch . only in these days of political correctness could such an overturn occur . the best horse did not win the kentucky derby - not even close !
7963.0,3.0,0.9663000106811523,"thank, many, much, china, country, u.s., democrats, news, united, tonight","['.also', 'small', 'apology', 'testing', 'short', 'range', 'missiles', 'testing', 'stop', 'exercises', 'end', 'look', 'forward', 'seeing', 'kim', 'jong', 'un', 'distant', 'future', 'nuclear', 'free', 'north', 'korea', 'lead', 'one', 'successful', 'countries', 'world']",... .also a small apology for testing the short range missiles and that this testing would stop when the exercises end . i look forward to seeing kim jong un in the not too distant future ! a nuclear free north korea will lead to one of the most successful countries in the world !
6891.0,3.0,0.9650999903678894,"thank, many, much, china, country, u.s., democrats, news, united, tonight","['rex', 'tillerson', 'man', 'dumb', 'rock', 'totally', 'ill', 'prepared', 'ill', 'equipped', 'secretary', 'state', 'made', 'story', 'got', 'fired', 'out-prepared', 'vladimir', 'putin', 'meeting', 'hamburg', 'germany', 'think', 'putin', 'agree', 'look', 'u.s.']","rex tillerson a man who is "" dumb as a rock "" and totally ill prepared and ill equipped to be secretary of state made up a story ( he got fired ) that i was out-prepared by vladimir putin at a meeting in hamburg germany . i don ' t think putin would agree . look how the u.s. is doing !"
3802.0,3.0,0.9650999903678894,"thank, many, much, china, country, u.s., democrats, news, united, tonight","['funny', 'checked', 'fake', 'news', 'cnn', 'first', 'time', 'long', 'time', 'dying', 'ratings', 'see', 'covered', 'takedown', 'yesterday', 'jim', 'acosta', 'actually', 'nice', 'guy', 'say', 'already', 'lost', 'meeting', 'putin', 'fake', 'news']",so funny ! i just checked out fake news cnn for the first time in a long time ( they are dying in the ratings ) to see if they covered my takedown yesterday of jim acosta ( actually a nice guy ) . they didn ' t ! but they did say i already lost in my meeting with putin . fake news ... ...
,,,,,
7631.0,4.0,0.968500018119812,"border, democrats, want, people, deal, president, many, u.s., must, china","['like', 'new', 'york', 'fed', 'president', 'john', 'williams', 'first', 'statement', 'much', 'better', 'second', 'first', 'statement', 'correct', 'fed', 'raised', 'far', 'fast', 'early', 'also', 'must', 'stop', 'crazy', 'quantitative', 'tightening', 'world', 'competition', 'winning', 'big']","i like new york fed president john williams first statement much better than his second . his first statement is 100 % correct in that the fed "" raised "" far too fast & too early . also must stop with the crazy quantitative tightening . we are in a world competition & winning big ..."
6957.0,4.0,0.9674000144004822,"border, democrats, want, people, deal, president, many, u.s., must, china","['actually', 'sticking', 'sleepy', 'joe', 'biden', 'foreign', 'soil', 'kim', 'jong', 'un', 'called', 'low', 'iq', 'idiot', 'many', 'things', 'whereas', 'related', 'quote', 'chairman', 'kim', 'much', 'softer', 'low', 'iq', 'individual.', 'could', 'possibly', 'upset']","i was actually sticking up for sleepy joe biden while on foreign soil . kim jong un called him a "" low iq idiot "" and many other things whereas i related the quote of chairman kim as a much softer "" low iq individual. "" who could possibly be upset with that ?"
3504.0,4.0,0.9674000144004822,"border, democrats, want, people, deal, president, many, u.s., must, china","['four', 'reporters', 'spotted', 'melania', 'white', 'house', 'last', 'week', 'walking', 'merrily', 'along', 'meeting', 'never', 'reported', 'sighting', 'hurt', 'sick', 'narrative', 'living', 'different', 'part', 'world', 'really', 'ill', 'whatever', 'fake', 'news', 'really', 'bad']",... four reporters spotted melania in the white house last week walking merrily along to a meeting . they never reported the sighting because it would hurt the sick narrative that she was living in a different part of the world was really ill or whatever . fake news is really bad !
